"temporality","carrers pacificats","carril bici","carril bici cons","corredors bici","ronda verda","vies ciclables","time"
2017-03-30,NA,139.44,71.49,NA,61.23,247.98,"2017 1T"
2017-06-30,NA,143.67,64.08,NA,61.23,239.26,"2017 2T"
2017-09-30,NA,147.16,61.99,NA,61.23,238.38,"2017 3T"
2017-12-30,NA,156.96,54.61,NA,61.23,240.5,"2017 4T"
2018-03-30,NA,162.51,52.33,NA,61.23,240.68,"2018 1T"
2018-06-30,NA,169.79,25.72,NA,61.23,244.55,"2018 2T"
2018-09-30,NA,174.36,8.46,NA,61.23,245.37,"2018 3T"
2018-12-30,NA,177.42,5.53,NA,61.23,245.57,"2018 4T"
2019-03-30,NA,180.38,2.54,NA,61.23,244.64,"2019 1T"
2019-06-30,NA,182.08,1.22,NA,61.23,244.9,"2019 2T"
2019-09-30,NA,182.23,1.66,NA,61.23,262.74,"2019 3T"
2019-12-30,NA,183.3,1.95,NA,61.23,265.87,"2019 4T"
2020-03-30,NA,183.12,2.25,NA,61.23,313.97,"2020 1T"
2020-06-30,NA,195.96,4.2,NA,61.23,457.28,"2020 2T"
2020-09-30,3.66,199.4,10.62,21.02,61.23,460.97,"2020 3T"
2020-12-30,3.66,204.62,5.81,28.59,61.23,469.11,"2020 4T"
