"Id_aforament","Desc_aforament","Codi_tipus_aforament","Desc_tipus_aforament","Num_carrils","Codi_districte","Codi_barri","Codi_tipus_equip_mesura","Desc_tipus_equip_mesura","Longitud","Latitud","X_ETRS89","Y_ETRS89"
"10001","ARAGÓ - NAVAS (Llobregat)",1,"Trànsit",2,10,65,1,"Espira",2.19073536914761,41.4116798138391,432364.559,4584775.026
"10002","BAC DE RODA - BOLIVIA (Pujada)",1,"Trànsit",3,10,71,1,"Espira",2.19898280387419,41.4113366439258,433053.504,4584730.52
"10005","ARAGÓ - BILBAO (Besòs)",1,"Trànsit",2,10,65,1,"Espira",2.19188571810162,41.4122858738082,432461.33,4584841.413
"10008","CANTÀBRIA - GUIPÚSCOA (Pujada)",1,"Trànsit",2,10,72,1,"Espira",2.20106339805483,41.4200433612197,433236.312,4585695.525
"10009","GUIPÚSCOA - MARESME (Llobregat)",1,"Trànsit",2,10,73,1,"Espira",2.20302142326192,41.4209259389645,433400.838,4585792
"1001","AV. DIAGONAL - TORRE MELINA (Entrada)",1,"Trànsit",3,4,21,1,"Espira",2.10952517290599,41.3837355108734,425545.349,4581739.28
"10010","GUIPÚSCOA - PUIGCERDÀ (Besòs)",1,"Trànsit",2,10,73,1,"Espira",2.20324041643966,41.4207915403937,433419.001,4585776.911
"10011","RBLA. PRIM - CONCILI DE TRENTO (Baixada)",1,"Trànsit",2,10,73,1,"Espira",2.20629082616235,41.4209026395824,433674.023,4585786.904
"10012","RBLA. PRIM - CONCILI DE TRENTO (Pujada)",1,"Trànsit",2,10,73,1,"Espira",2.20582046709715,41.4217910120223,433635.622,4585885.89
"10013","RBLA. PRIM - CRISTÓBAL DE MOURA (Baixada)",1,"Trànsit",2,10,70,1,"Espira",2.21346256192603,41.415434528203,434267.818,4585174.372
"10014","RBLA. PRIM - CRISTÓBAL DE MOURA (Pujada)",1,"Trànsit",2,10,70,1,"Espira",2.2127448089634,41.416503515673,434208.912,4585293.596
"10015","BILBAO - CONCILI DE TRENTO (sentit mar)",1,"Trànsit",2,10,65,2,"Infraroig",2.19214727380226,41.4112919076192,432482.161,4584730.86
"10017","RBLA. GUIPÚSCOA - EXTREMADURA (Entrada)",1,"Trànsit",2,10,65,1,"Espira",2.20842324538341,41.4249817109825,433856.359,4586238.127
"10018","RBLA. GUIPÚSCOA - CAMÍ DE LA VERNEDA (Sortida)",1,"Trànsit",2,10,73,1,"Espira",2.20866893012187,41.4248191757687,433876.723,4586219.896
"10019","BADAJOZ - PUJADES (sentit muntanya)",1,"Trànsit",2,10,68,1,"Espira",2.2079298585108,41.4192447409245,433809.306,4585601.592
"1002","AV. DIAGONAL - AV. SARRIÀ (Entrada)",1,"Trànsit",3,4,19,1,"Espira",2.13996624545115,41.3914833997392,428099.159,4582573.733
"1003","AV. DIAGONAL - ADOLF FLORENSA (Entrada)",1,"Trànsit",3,4,20,1,"Espira",2.11636376936384,41.3854985194405,426119.141,4581929.154
"1004","AV. DIAGONAL - PASCUAL VILA (Sortida)",1,"Trànsit",2,4,20,1,"Espira",2.11625845637075,41.3855740484895,426110.421,4581937.629
"1005","AV. DIAGONAL - BEETHOVEN (Sortida)",1,"Trànsit",3,4,19,1,"Espira",2.13989839005131,41.391564053921,428093.575,4582582.743
"1006","AV. DIAGONAL - PLAÇA PIUS XII (Entrada)",1,"Trànsit",2,4,20,1,"Espira",2.12380055719989,41.387374634778,426743.043,4582131.123
"1007","AV. DIAGONAL- DOCTOR FERRAN (Sortida)",1,"Trànsit",3,4,20,1,"Espira",2.12373816821195,41.3874730063351,426737.938,4582142.098
"1008","CAPITÀ ARENAS - MANILA (baixada)",1,"Trànsit",4,4,21,1,"Espira",2.12637832464327,41.3896380640375,426961.1,4582380.23
"1009","PG. MANUEL GIRONA - BENET I MATEU (sentit Llobregat)",1,"Trànsit",2,4,21,1,"Espira",2.12763920293606,41.3919462558656,427069.096,4582635.422
"1010","AV. DIAGONAL - GANDESA (Sortida)",1,"Trànsit",3,4,19,1,"Espira",2.12857747808993,41.3886843678709,427143.897,4582272.502
"1011","AV. DIAGONAL - GANDESA (Entrada)",1,"Trànsit",3,4,19,1,"Espira",2.12863069882455,41.3885945980044,427148.246,4582262.491
"1012","AV. DIAGONAL - TORRE MELINA (Lateral Entrada)",1,"Trànsit",2,4,21,1,"Espira",2.11068541931338,41.3838466937179,425642.487,4581750.627
"1013","AV. PEDRALBES - PG. MANUEL GIRONA (Baixada)",1,"Trànsit",3,4,21,2,"Infraroig",2.1200198822005,41.38923227805,426429.041,4582340.56
"1014","AV. SARRIÀ - DOCTOR FLEMING (pujada)",1,"Trànsit",2,5,24,1,"Espira",2.1359160000107,41.3916298692755,427760.708,4582593.363
"1015","AV. SARRIÀ - AV. JOSEP TARRADELLAS",1,"Trànsit",4,2,8,1,"Espira",2.14307827376168,41.3905703600706,428358.332,4582469.791
"1016","AV. ESPLUGUES - SANTA CATERINA DE SIENA (Besós)",1,"Trànsit",1,4,21,1,"Espira",2.11072370495595,41.3909736513673,425653.808,4582541.82
"1017","AV. DOCTOR MARAÑÓN - BALDIRI REIXAC (Pujada)",1,"Trànsit",3,4,20,2,"Infraroig",2.11305345803651,41.3827211329976,425839.207,4581623.64
"1018","AV. DIAGONAL - TORRE MELINA (Sortida)",1,"Trànsit",4,4,21,1,"Espira",2.10848537576114,41.3835833030717,425458.234,4581723.276
"1019","AV. DOCTOR MARAÑÓN - PAU GARGALLO (Baixada)",1,"Trànsit",3,4,20,1,"Espira",2.11295806692805,41.3825534743475,425831.041,4581605.108
"1021","GONZÁLEZ TABLAS - AV. EXÈRCIT (Baixada)",1,"Trànsit",2,4,21,2,"Infraroig",2.11054763467226,41.3848607688299,425632.122,4581863.327
"1022","AV. PEDRALBES - PG. MANUEL GIRONA (Pujada)",1,"Trànsit",2,4,21,2,"Infraroig",2.11915017830002,41.3899967348895,426357.192,4582426.167
"1026","AV. ESPLUGUES - MIRET I SANS (Llobregat)",1,"Trànsit",1,4,21,1,"Espira",2.11068650735979,41.3910102929535,425650.74,4582545.919
"1027","DOCTOR FERRAN - PG. MANUEL GIRONA (baixada)",1,"Trànsit",2,4,21,1,"Espira",2.1237037935422,41.3906592623485,426738.641,4582495.861
"1028","ARISTIDES MAILLOL - CARDENAL REIG (Baixada)",1,"Trànsit",2,4,20,1,"Espira",2.12016648138265,41.3788618827201,426429.609,4581189.129
"1029","ARISTIDES MAILLOL - CARDENAL REIG (Pujada)",1,"Trànsit",2,4,20,1,"Espira",2.12026132638103,41.3789667368511,426437.658,4581200.69
"1030","JOAN XXIII - MARTÍ I FRANQUÉS (Llobregat)",1,"Trànsit",2,4,20,1,"Espira",2.12184772928002,41.3821916666666,426573.94,4581557.371
"1031","JOAN XXIII - MENÉNDEZ PELAYO (Besòs)",1,"Trànsit",2,4,20,1,"Espira",2.12199741972438,41.3821472222222,426586.406,4581552.31
"1032","GRAN VÍA CARLES III - TRAV. DE LES CORTS (Pujada)",1,"Trànsit",1,4,20,1,"Espira",2.12817127446172,41.3829592063285,427103.541,4581637.244
"1033","GRAN VÍA CARLES III - TRAV. DE LES CORTS (Baixada)",1,"Trànsit",2,4,20,1,"Espira",2.12810394464394,41.3818510282584,427096.673,4581514.272
"11001","AV. ESTATUT- LISBOA (Pujada)",1,"Trànsit",2,7,37,1,"Espira",2.15522900634285,41.4306514538133,429417.584,4586909.577
"11002","AV. ESTATUT - CAN TRAVI NOU (Baixada)",1,"Trànsit",2,7,37,1,"Espira",2.15416783936624,41.431797826656,429330.164,4587037.713
"11003","AV. ESTATUT - PL. CIUTADELLA (Pujada)",1,"Trànsit",2,7,37,1,"Espira",2.15449840389739,41.4315644473508,429357.53,4587011.533
"11004","AV. ESTATUT - PG. VALLDAURA (Baixada)",1,"Trànsit",2,7,43,1,"Espira",2.15343747453683,41.4359420769539,429273.64,4587498.401
"11005","PG. SANT GERVASI - PL. ALFONS COMÍN (sentit muntanya)",1,"Trànsit",2,6,28,1,"Espira",2.13772155292881,41.4136942318135,427936.04,4585041.419
"11006","AV. VALLCARCA - CAPELLADES (Pujada)",1,"Trànsit",1,6,28,2,"Infraroig",2.14075623218984,41.4197848756243,428196.371,4585715.078
"11007","ESTEVE TERRADES - PL. ALFONS COMÍN (Pujada)",1,"Trànsit",2,6,28,2,"Infraroig",2.13828231395387,41.4153164010651,427984.697,4585221.045
"11008","TÚNEL DE LA ROVIRA - BOCA NORD (Sentit Horta)",1,"Trànsit",2,7,43,2,"Infraroig",2.15838144072675,41.423738999396,429673.52,4586139.596
"11009","TÚNEL DE LA ROVIRA - BOCA NORD (Sentit Guinardó)",1,"Trànsit",2,7,35,2,"Infraroig",2.15820319678061,41.4237056720282,429658.59,4586136.041
"11010","CTRA. D'HORTA A CERDANYOLA - RONDA DE DALT (Entrada)",1,"Trànsit",2,7,43,1,"Espira",2.15342694147954,41.4371872086848,429274.112,4587636.644
"11011","CTRA. D'HORTA A CERDANYOLA - AV. ESTATUT (Sortida)",1,"Trànsit",1,7,43,1,"Espira",2.15350250879794,41.4372114000455,429280.451,4587639.267
"11012","AV. ESPLUGUES - JARDINS CERVANTES (Entrada)",1,"Trànsit",2,4,21,1,"Espira",2.10533737568672,41.3860691651983,425197.869,4582001.966
"11013","AV. ESPLUGUES - GONZÁLEZ TABLAS (Sortida)",1,"Trànsit",2,4,21,1,"Espira",2.10555371036138,41.3866612935988,425216.635,4582067.516
"11014","AV. VALLVIDRERA (Entrada)",1,"Trànsit",1,5,23,1,"Espira",2.11692952257796,41.4043311996354,426187.754,4584019.453
"11015","AV. VALLVIDRERA (Sortida)",1,"Trànsit",1,5,23,1,"Espira",2.11693965961916,41.4043781660851,426188.655,4584024.659
"11018","AV. REPÚBLICA ARGENTINA - VIADUCTE VALLCARCA (Pujada)",1,"Trànsit",2,6,28,1,"Espira",2.14291541285985,41.4115300088469,428367.737,4584796.841
"11019","AV. REPÚBLICA ARGENTINA - VIADUCTE VALLCARCA (Baixada)",1,"Trànsit",2,6,28,1,"Espira",2.14369728978358,41.4114146278194,428432.958,4584783.386
"11020","AV. REPÚBLICA ARGENTINA - PL. ALFONSO COMÍN (baixada)",1,"Trànsit",2,6,28,1,"Espira",2.13814411812842,41.4138256777568,427971.501,4585055.661
"11021","PG. SANT GERVASI - GARCÍA MARIÑO (pujada)",1,"Trànsit",2,5,27,1,"Espira",2.13790255158388,41.4129384515837,427950.331,4584957.363
