"Any","Id_aforament","Mes","Codi_tipus_dia","Desc_tipus_dia","Valor_IMD"
2018,"10001",1,1,"Dilluns",8625
2018,"10001",1,2,"Laborable",8776
2018,"10001",1,3,"Divendres",9480
2018,"10001",1,4,"Dissabte",6415
2018,"10001",1,5,"Diumenge",4633
2018,"10001",2,1,"Dilluns",8940
2018,"10001",2,2,"Laborable",9172
2018,"10001",2,3,"Divendres",10985
2018,"10001",2,4,"Dissabte",6238
2018,"10001",2,5,"Diumenge",4572
2018,"10001",3,1,"Dilluns",9096
2018,"10001",3,2,"Laborable",9035
2018,"10001",3,3,"Divendres",10579
2018,"10001",3,4,"Dissabte",5965
2018,"10001",3,5,"Diumenge",4610
2018,"10001",4,1,"Dilluns",11840
2018,"10001",4,2,"Laborable",12212
2018,"10001",4,3,"Divendres",13176
2018,"10001",4,4,"Dissabte",9337
2018,"10001",4,5,"Diumenge",5630
2018,"10001",5,1,"Dilluns",16448
2018,"10001",5,2,"Laborable",16498
2018,"10001",5,3,"Divendres",17631
2018,"10001",5,4,"Dissabte",13395
2018,"10001",5,5,"Diumenge",9739
2018,"10001",6,1,"Dilluns",16267
2018,"10001",6,2,"Laborable",16822
2018,"10001",6,3,"Divendres",17010
2018,"10001",6,4,"Dissabte",12552
2018,"10001",6,5,"Diumenge",9793
2018,"10001",7,1,"Dilluns",16051
2018,"10001",7,2,"Laborable",16745
2018,"10001",7,3,"Divendres",16732
2018,"10001",7,4,"Dissabte",11772
2018,"10001",7,5,"Diumenge",10089
2018,"10001",8,1,"Dilluns",14093
2018,"10001",8,2,"Laborable",14267
2018,"10001",8,3,"Divendres",13682
2018,"10001",8,4,"Dissabte",10820
2018,"10001",8,5,"Diumenge",9028
2018,"10001",9,1,"Dilluns",8576
2018,"10001",9,2,"Laborable",9398
2018,"10001",9,3,"Divendres",10527
2018,"10001",9,4,"Dissabte",5803
2018,"10001",9,5,"Diumenge",4331
2018,"10001",10,1,"Dilluns",9241
2018,"10001",10,2,"Laborable",9501
2018,"10001",10,3,"Divendres",10652
2018,"10001",10,4,"Dissabte",6732
2018,"10001",10,5,"Diumenge",4634
2018,"10001",11,1,"Dilluns",6423
2018,"10001",11,2,"Laborable",7107
2018,"10001",11,3,"Divendres",7239
2018,"10001",11,4,"Dissabte",4544
2018,"10001",11,5,"Diumenge",3203
2018,"10001",12,1,"Dilluns",7714
2018,"10001",12,2,"Laborable",8661
2018,"10001",12,3,"Divendres",7732
2018,"10001",12,4,"Dissabte",6538
2018,"10001",12,5,"Diumenge",4546
2018,"10002",1,1,"Dilluns",13777
2018,"10002",1,2,"Laborable",13748
2018,"10002",1,3,"Divendres",14203
2018,"10002",1,4,"Dissabte",12122
2018,"10002",1,5,"Diumenge",9229
2018,"10002",2,1,"Dilluns",14016
2018,"10002",2,2,"Laborable",15038
2018,"10002",2,3,"Divendres",15724
2018,"10002",2,4,"Dissabte",12561
2018,"10002",2,5,"Diumenge",9828
2018,"10002",3,1,"Dilluns",14305
2018,"10002",3,2,"Laborable",14295
2018,"10002",3,3,"Divendres",15465
2018,"10002",3,4,"Dissabte",11713
2018,"10002",3,5,"Diumenge",9357
2018,"10002",4,1,"Dilluns",14704
2018,"10002",4,2,"Laborable",14983
2018,"10002",4,3,"Divendres",15880
2018,"10002",4,4,"Dissabte",13726
2018,"10002",4,5,"Diumenge",10456
2018,"10002",5,1,"Dilluns",16431
2018,"10002",5,2,"Laborable",17051
2018,"10002",5,3,"Divendres",18580
2018,"10002",5,4,"Dissabte",15762
2018,"10002",5,5,"Diumenge",12890
2018,"10002",6,1,"Dilluns",15826
2018,"10002",6,2,"Laborable",16329
2018,"10002",6,3,"Divendres",17140
2018,"10002",6,4,"Dissabte",13942
2018,"10002",6,5,"Diumenge",12657
2018,"10002",7,1,"Dilluns",14449
2018,"10002",7,2,"Laborable",14693
2018,"10002",7,3,"Divendres",15655
2018,"10002",7,4,"Dissabte",11880
2018,"10002",7,5,"Diumenge",11401
2018,"10002",8,1,"Dilluns",11775
2018,"10002",8,2,"Laborable",11912
2018,"10002",8,3,"Divendres",13216
2018,"10002",8,4,"Dissabte",11117
2018,"10002",8,5,"Diumenge",9216
2018,"10002",9,1,"Dilluns",15358
2018,"10002",9,2,"Laborable",16291
2018,"10002",9,3,"Divendres",17129
2018,"10002",9,4,"Dissabte",13335
2018,"10002",9,5,"Diumenge",11929
2018,"10002",10,1,"Dilluns",15752
2018,"10002",10,2,"Laborable",15156
2018,"10002",10,3,"Divendres",16110
2018,"10002",10,4,"Dissabte",13145
2018,"10002",10,5,"Diumenge",11392
2018,"10002",11,1,"Dilluns","Mesura no disponible"
2018,"10002",11,2,"Laborable","Mesura no disponible"
2018,"10002",11,3,"Divendres","Mesura no disponible"
2018,"10002",11,4,"Dissabte","Mesura no disponible"
2018,"10002",11,5,"Diumenge","Mesura no disponible"
2018,"10002",12,1,"Dilluns",15584
2018,"10002",12,2,"Laborable",17193
2018,"10002",12,3,"Divendres",16751
2018,"10002",12,4,"Dissabte",15202
2018,"10002",12,5,"Diumenge",12627
2018,"10005",1,1,"Dilluns",14675
2018,"10005",1,2,"Laborable",14645
2018,"10005",1,3,"Divendres",14894
2018,"10005",1,4,"Dissabte",12163
2018,"10005",1,5,"Diumenge",9193
2018,"10005",2,1,"Dilluns",14077
2018,"10005",2,2,"Laborable",14868
2018,"10005",2,3,"Divendres",16097
2018,"10005",2,4,"Dissabte",12220
2018,"10005",2,5,"Diumenge",9106
2018,"10005",3,1,"Dilluns",14721
2018,"10005",3,2,"Laborable",15015
2018,"10005",3,3,"Divendres",16289
2018,"10005",3,4,"Dissabte",11267
2018,"10005",3,5,"Diumenge",9010
2018,"10005",4,1,"Dilluns","Mesura no disponible"
2018,"10005",4,2,"Laborable","Mesura no disponible"
2018,"10005",4,3,"Divendres","Mesura no disponible"
2018,"10005",4,4,"Dissabte","Mesura no disponible"
2018,"10005",4,5,"Diumenge","Mesura no disponible"
2018,"10005",5,1,"Dilluns","Mesura no disponible"
2018,"10005",5,2,"Laborable","Mesura no disponible"
2018,"10005",5,3,"Divendres","Mesura no disponible"
2018,"10005",5,4,"Dissabte","Mesura no disponible"
2018,"10005",5,5,"Diumenge","Mesura no disponible"
2018,"10005",6,1,"Dilluns","Mesura no disponible"
2018,"10005",6,2,"Laborable","Mesura no disponible"
2018,"10005",6,3,"Divendres","Mesura no disponible"
2018,"10005",6,4,"Dissabte","Mesura no disponible"
2018,"10005",6,5,"Diumenge","Mesura no disponible"
2018,"10005",7,1,"Dilluns","Mesura no disponible"
2018,"10005",7,2,"Laborable","Mesura no disponible"
2018,"10005",7,3,"Divendres","Mesura no disponible"
2018,"10005",7,4,"Dissabte","Mesura no disponible"
2018,"10005",7,5,"Diumenge","Mesura no disponible"
2018,"10005",8,1,"Dilluns","Mesura no disponible"
2018,"10005",8,2,"Laborable","Mesura no disponible"
2018,"10005",8,3,"Divendres","Mesura no disponible"
2018,"10005",8,4,"Dissabte","Mesura no disponible"
2018,"10005",8,5,"Diumenge","Mesura no disponible"
2018,"10005",9,1,"Dilluns",16394
2018,"10005",9,2,"Laborable",16712
2018,"10005",9,3,"Divendres",18563
2018,"10005",9,4,"Dissabte",13899
2018,"10005",9,5,"Diumenge",11142
2018,"10005",10,1,"Dilluns",16526
2018,"10005",10,2,"Laborable",17481
2018,"10005",10,3,"Divendres",18508
2018,"10005",10,4,"Dissabte",14171
2018,"10005",10,5,"Diumenge",11259
2018,"10005",11,1,"Dilluns",16046
2018,"10005",11,2,"Laborable",16825
2018,"10005",11,3,"Divendres",17346
2018,"10005",11,4,"Dissabte",14239
2018,"10005",11,5,"Diumenge",10784
2018,"10005",12,1,"Dilluns",15684
2018,"10005",12,2,"Laborable",17168
2018,"10005",12,3,"Divendres",15958
2018,"10005",12,4,"Dissabte",14814
2018,"10005",12,5,"Diumenge",10965
2018,"10007",1,1,"Dilluns",2116
2018,"10007",1,2,"Laborable",2123
2018,"10007",1,3,"Divendres",2345
2018,"10007",1,4,"Dissabte",1823
2018,"10007",1,5,"Diumenge",1504
2018,"10007",2,1,"Dilluns","Mesura no disponible"
2018,"10007",2,2,"Laborable","Mesura no disponible"
2018,"10007",2,3,"Divendres","Mesura no disponible"
2018,"10007",2,4,"Dissabte","Mesura no disponible"
2018,"10007",2,5,"Diumenge","Mesura no disponible"
2018,"10007",3,1,"Dilluns","Mesura no disponible"
2018,"10007",3,2,"Laborable","Mesura no disponible"
2018,"10007",3,3,"Divendres","Mesura no disponible"
2018,"10007",3,4,"Dissabte","Mesura no disponible"
2018,"10007",3,5,"Diumenge","Mesura no disponible"
2018,"10007",4,1,"Dilluns","Mesura no disponible"
2018,"10007",4,2,"Laborable","Mesura no disponible"
2018,"10007",4,3,"Divendres","Mesura no disponible"
2018,"10007",4,4,"Dissabte","Mesura no disponible"
2018,"10007",4,5,"Diumenge","Mesura no disponible"
2018,"10007",5,1,"Dilluns","Mesura no disponible"
2018,"10007",5,2,"Laborable","Mesura no disponible"
2018,"10007",5,3,"Divendres","Mesura no disponible"
2018,"10007",5,4,"Dissabte","Mesura no disponible"
2018,"10007",5,5,"Diumenge","Mesura no disponible"
2018,"10007",6,1,"Dilluns","Mesura no disponible"
2018,"10007",6,2,"Laborable","Mesura no disponible"
2018,"10007",6,3,"Divendres","Mesura no disponible"
2018,"10007",6,4,"Dissabte","Mesura no disponible"
2018,"10007",6,5,"Diumenge","Mesura no disponible"
2018,"10007",7,1,"Dilluns","Mesura no disponible"
2018,"10007",7,2,"Laborable","Mesura no disponible"
2018,"10007",7,3,"Divendres","Mesura no disponible"
2018,"10007",7,4,"Dissabte","Mesura no disponible"
2018,"10007",7,5,"Diumenge","Mesura no disponible"
2018,"10007",8,1,"Dilluns","Mesura no disponible"
2018,"10007",8,2,"Laborable","Mesura no disponible"
2018,"10007",8,3,"Divendres","Mesura no disponible"
2018,"10007",8,4,"Dissabte","Mesura no disponible"
2018,"10007",8,5,"Diumenge","Mesura no disponible"
2018,"10007",9,1,"Dilluns","Mesura no disponible"
2018,"10007",9,2,"Laborable","Mesura no disponible"
2018,"10007",9,3,"Divendres","Mesura no disponible"
2018,"10007",9,4,"Dissabte","Mesura no disponible"
2018,"10007",9,5,"Diumenge","Mesura no disponible"
2018,"10007",10,1,"Dilluns","Mesura no disponible"
2018,"10007",10,2,"Laborable","Mesura no disponible"
2018,"10007",10,3,"Divendres","Mesura no disponible"
2018,"10007",10,4,"Dissabte","Mesura no disponible"
2018,"10007",10,5,"Diumenge","Mesura no disponible"
2018,"10007",11,1,"Dilluns","Mesura no disponible"
