"Id_aforament","Desc_aforament","Codi_tipus_aforament","Desc_tipus_aforament","Num_carrils","Codi_districte","Codi_barri","Codi_tipus_equip_mesura","Desc_tipus_equip_mesura","Longitud","Latitud","X_ETRS89","Y_ETRS89"
"10001","ARAGÓ - NAVAS (Llobregat)",1,"Trànsit",2,10,65,1,"Espira",2.190735369,41.411679814,432364.55,4584775.02
"10002","BAC DE RODA - BOLIVIA (Pujada)",1,"Trànsit",3,10,71,1,"Espira",2.198982804,41.411336644,433053.50,4584730.52
"10005","ARAGÓ - BILBAO (Besòs)",1,"Trànsit",2,10,65,1,"Espira",2.191885718,41.412285874,432461.33,4584841.41
"10008","CANTÀBRIA - GUIPÚSCOA (Pujada)",1,"Trànsit",2,10,72,1,"Espira",2.201063398,41.420043361,433236.31,4585695.52
"10009","GUIPÚSCOA - MARESME (Llobregat)",1,"Trànsit",2,10,73,1,"Espira",2.203021423,41.420925939,433400.83,4585792.00
"10010","GUIPÚSCOA - PUIGCERDÀ (Besòs)",1,"Trànsit",2,10,73,1,"Espira",2.203240416,41.42079154,433419.00,4585776.91
"10011","RBLA. PRIM - CONCILI DE TRENTO (Baixada)",1,"Trànsit",2,10,73,1,"Espira",2.206290826,41.42090264,433674.02,4585786.90
"10012","RBLA. PRIM - CONCILI DE TRENTO (Pujada)",1,"Trànsit",2,10,73,1,"Espira",2.205820467,41.421791012,433635.62,4585885.89
"10013","RBLA. PRIM - CRISTÓBAL DE MOURA (Baixada)",1,"Trànsit",2,10,70,1,"Espira",2.213462562,41.415434528,434267.81,4585174.37
"10014","RBLA. PRIM - CRISTÓBAL DE MOURA (Pujada)",1,"Trànsit",2,10,70,1,"Espira",2.212744809,41.416503516,434208.91,4585293.59
"10015","BILBAO - CONCILI DE TRENTO (sentit mar)",1,"Trànsit",2,10,65,2,"Infraroig",2.192147274,41.411291908,432482.16,4584730.86
"10017","RBLA. GUIPÚSCOA - EXTREMADURA (Entrada)",1,"Trànsit",2,10,65,1,"Espira",2.208423245,41.424981711,433856.35,4586238.12
"10018","RBLA. GUIPÚSCOA - CAMÍ DE LA VERNEDA (Sortida)",1,"Trànsit",2,10,73,1,"Espira",2.20866893,41.424819176,433876.72,4586219.89
"10019","BADAJOZ - PUJADES (sentit muntanya)",1,"Trànsit",3,10,68,1,"Espira",2.207929859,41.419244741,433809.30,4585601.59
"1001","AV. DIAGONAL - TORRE MELINA (Entrada)",1,"Trànsit",2,4,21,1,"Espira",2.109525173,41.383735511,425545.34,4581739.28
"1002","AV. DIAGONAL - AV. SARRIÀ (Entrada)",1,"Trànsit",2,4,19,1,"Espira",2.139966245,41.3914834,428099.15,4582573.73
"1003","AV. DIAGONAL - ADOLF FLORENSA (Entrada)",1,"Trànsit",3,4,20,1,"Espira",2.116363769,41.385498519,426119.14,4581929.15
"1004","AV. DIAGONAL - PASCUAL VILA (Sortida)",1,"Trànsit",2,4,20,1,"Espira",2.116258456,41.385574048,426110.42,4581937.62
"1005","AV. DIAGONAL - BEETHOVEN (Sortida)",1,"Trànsit",5,4,19,1,"Espira",2.13989839,41.391564054,428093.57,4582582.74
"1006","AV. DIAGONAL - PLAÇA PIUS XII (Entrada)",1,"Trànsit",2,4,20,1,"Espira",2.123800557,41.387374635,426743.04,4582131.12
"1007","AV. DIAGONAL- DOCTOR FERRAN (Sortida)",1,"Trànsit",2,4,20,1,"Espira",2.123738168,41.387473006,426737.93,4582142.09
"1008","CAPITÀ ARENAS - MANILA (baixada)",1,"Trànsit",2,4,21,1,"Espira",2.126378325,41.389638064,426961.10,4582380.23
"1009","PG. MANUEL GIRONA - BENET I MATEU (sentit Llobregat)",1,"Trànsit",3,4,21,1,"Espira",2.127639203,41.391946256,427069.09,4582635.42
"1010","AV. DIAGONAL - GANDESA (Sortida)",1,"Trànsit",2,4,19,1,"Espira",2.128577478,41.388684368,427143.89,4582272.50
"1011","AV. DIAGONAL - GANDESA (Entrada)",1,"Trànsit",2,4,19,1,"Espira",2.128630699,41.388594598,427148.24,4582262.49
"1012","AV. DIAGONAL - TORRE MELINA (Lateral Entrada)",1,"Trànsit",2,4,21,1,"Espira",2.110685419,41.383846694,425642.48,4581750.62
"1013","AV. PEDRALBES - PG. MANUEL GIRONA (Baixada)",1,"Trànsit",2,4,21,2,"Infraroig",2.120019882,41.389232278,426429.04,4582340.56
"1014","AV. SARRIÀ - DOCTOR FLEMING (pujada)",1,"Trànsit",3,5,24,1,"Espira",2.135916,41.391629869,427760.70,4582593.36
"1015","AV. SARRIÀ - AV. JOSEP TARRADELLAS (pujada)",1,"Trànsit",4,2,8,1,"Espira",2.143078274,41.39057036,428358.33,4582469.79
"1016","AV. ESPLUGUES - SANTA CATERINA DE SIENA (Besós)",1,"Trànsit",2,4,21,1,"Espira",2.110723705,41.390973651,425653.80,4582541.82
"1018","AV. DIAGONAL - TORRE MELINA (Sortida)",1,"Trànsit",2,4,21,1,"Espira",2.108485376,41.383583303,425458.23,4581723.27
"1021","GONZÁLEZ TABLAS - AV. EXÈRCIT (Baixada)",1,"Trànsit",2,4,21,2,"Infraroig",2.110547635,41.384860769,425632.12,4581863.32
"1022","AV. PEDRALBES - PG. MANUEL GIRONA (Pujada)",1,"Trànsit",2,4,21,2,"Infraroig",2.119150178,41.389996735,426357.19,4582426.16
"1027","DOCTOR FERRAN - PG. MANUEL GIRONA (baixada)",1,"Trànsit",2,4,21,1,"Espira",2.123703794,41.390659262,426738.64,4582495.86
"1028","ARISTIDES MAILLOL - CARDENAL REIG (Baixada)",1,"Trànsit",3,4,20,1,"Espira",2.120166481,41.378861883,426429.60,4581189.12
"1029","ARISTIDES MAILLOL - CARDENAL REIG (Pujada)",1,"Trànsit",3,4,20,1,"Espira",2.120261326,41.378966737,426437.65,4581200.69
"1030","JOAN XXIII - MARTÍ I FRANQUÉS (Llobregat)",1,"Trànsit",2,4,20,1,"Espira",2.121847729,41.382191667,426573.94,4581557.37
"1031","JOAN XXIII - MENÉNDEZ PELAYO (Besòs)",1,"Trànsit",2,4,20,1,"Espira",2.12199742,41.382147222,426586.40,4581552.31
"1032","GRAN VÍA CARLES III - TRAV. DE LES CORTS (Pujada)",1,"Trànsit",2,4,20,1,"Espira",2.128171274,41.382959206,427103.54,4581637.24
"1033","GRAN VÍA CARLES III - TRAV. DE LES CORTS (Baixada)",1,"Trànsit",3,4,20,1,"Espira",2.128103945,41.381851028,427096.67,4581514.27
"10-SMD-1","RONDA DE DALT - MONTBAU (Llobregat)",3,"Rondes",3,0,0,1,"Espira",2.145601891,41.431949428,428614.63,4587061.57
"10-SMD-2","RONDA DE DALT - MONTBAU (Trinitat)",3,"Rondes",3,0,0,1,"Espira",2.145255433,41.430912648,428584.55,4586946.75
"11001","AV. ESTATUT- LISBOA (Pujada)",1,"Trànsit",2,7,37,1,"Espira",2.155229006,41.430651454,429417.58,4586909.57
"11002","AV. ESTATUT - CAN TRAVI NOU (Baixada)",1,"Trànsit",2,7,37,1,"Espira",2.154167839,41.431797827,429330.16,4587037.71
"11003","AV. ESTATUT - PL. CIUTADELLA (Pujada)",1,"Trànsit",3,7,37,1,"Espira",2.154498404,41.431564447,429357.53,4587011.53
"11004","AV. ESTATUT - PG. VALLDAURA (Baixada)",1,"Trànsit",2,7,43,1,"Espira",2.153437475,41.435942077,429273.64,4587498.40
"11005","PG. SANT GERVASI - PL. ALFONS COMÍN (sentit muntanya)",1,"Trànsit",2,6,28,1,"Espira",2.137721553,41.413694232,427936.04,4585041.41
"11006","AV. VALLCARCA - CAPELLADES (Pujada)",1,"Trànsit",1,6,28,2,"Infraroig",2.140756232,41.419784876,428196.37,4585715.07
"11007","ESTEVE TERRADES - PL. ALFONS COMÍN (Pujada)",1,"Trànsit",2,6,28,2,"Infraroig",2.138282314,41.415316401,427984.69,4585221.04
"11008","TÚNEL DE LA ROVIRA - BOCA NORD (Sentit Horta)",1,"Trànsit",2,7,43,2,"Infraroig",2.158381441,41.423738999,429673.52,4586139.59
"11009","TÚNEL DE LA ROVIRA - BOCA NORD (Sentit Guinardó)",1,"Trànsit",2,7,35,2,"Infraroig",2.158203197,41.423705672,429658.59,4586136.04
"11010","CTRA. D'HORTA A CERDANYOLA - RONDA DE DALT (Entrada)",1,"Trànsit",2,7,43,1,"Espira",2.153426941,41.437187209,429274.11,4587636.64
"11011","CTRA. D'HORTA A CERDANYOLA - AV. ESTATUT (Sortida)",1,"Trànsit",1,7,43,1,"Espira",2.153502509,41.4372114,429280.45,4587639.26
"11012","AV. ESPLUGUES - JARDINS CERVANTES (Entrada)",1,"Trànsit",2,4,21,1,"Espira",2.105337376,41.386069165,425197.86,4582001.96
"11013","AV. ESPLUGUES - GONZÁLEZ TABLAS (Sortida)",1,"Trànsit",2,4,21,1,"Espira",2.10555371,41.386661294,425216.63,4582067.51
"11014","AV. VALLVIDRERA (Entrada)",1,"Trànsit",1,5,23,1,"Espira",2.116929523,41.4043312,426187.75,4584019.45
"11015","AV. VALLVIDRERA (Sortida)",1,"Trànsit",1,5,23,1,"Espira",2.11693966,41.404378166,426188.65,4584024.65
"11018","AV. REPÚBLICA ARGENTINA - VIADUCTE VALLCARCA (Pujada)",1,"Trànsit",2,6,28,1,"Espira",2.142915413,41.411530009,428367.73,4584796.84
"11019","AV. REPÚBLICA ARGENTINA - VIADUCTE VALLCARCA (Baixada)",1,"Trànsit",2,6,28,1,"Espira",2.14369729,41.411414628,428432.95,4584783.38
"11020","AV. REPÚBLICA ARGENTINA - PL. ALFONSO COMÍN (sentit mar)",1,"Trànsit",2,6,28,1,"Espira",2.138144118,41.413825678,427971.50,4585055.66
"11021","PG. SANT GERVASI - GARCÍA MARIÑO (sentit muntanya)",1,"Trànsit",2,5,27,1,"Espira",2.137902552,41.412938452,427950.33,4584957.36
"11022","CRAYWINCKEL - AV. REPÚBLICA ARGENTINA (sentit Llobregat)",1,"Trànsit",2,6,28,1,"Espira",2.1395395,41.412126984,428086.24,4584865.91
"11023","ESTEVE TARRADES - JOSEP JOVER (Pujada)",1,"Trànsit",2,6,28,1,"Espira",2.140406943,41.413979783,428160.78,4585070.89
"11024","ESTEVE TARRADES - JOSEP JOVER (Baixada)",1,"Trànsit",2,6,28,1,"Espira",2.140947327,41.413327547,428205.22,4584998.03
"11025","AV. VALLCARCA - GUSTAVO BÈCQUER (Pujada)",1,"Trànsit",2,6,28,1,"Espira",2.141913498,41.416235721,428289.17,4585320.09
"11026","AV. VALLCARCA - GUSTAVO BÈCQUER (Baixada)",1,"Trànsit",2,6,28,1,"Espira",2.142221405,41.415606844,428314.21,4585250.02
"11027","GENERAL VIVES - MAJOR DE SARRIÀ (Besòs)",1,"Trànsit",2,5,23,1,"Espira",2.116905822,41.403770146,426185.13,4583957.18
"11028","GENERAL VIVES - MAJOR DE SARRIÀ (Llobregat)",1,"Trànsit",2,5,23,1,"Espira",2.116377076,41.403453085,426140.58,4583922.43
"11030","AV. TIBIDABO - PG. SANT GERVASI (sentit muntaya)",1,"Trànsit",1,5,25,3,"Visió Artificial",2.136783478,41.410624212,427854.24,4584701.37
"11031","VIADUCTE VALLCARCA - PL. MONS (sentit Llobregat)",1,"Trànsit",2,6,28,3,"Visió Artificial",2.143416298,41.411787133,428409.88,4584824.97
"11032","PG. MARE DE DÉU DEL COLL - PL. MONS (sentit Besòs)",1,"Trànsit",1,6,28,3,"Visió Artificial",2.144823314,41.413590935,428529.45,4585024.06
"11033","AV. VALLCARCA - AGRAMUNT (Pujada)",1,"Trànsit",2,6,28,3,"Visió Artificial",2.147283606,41.410078257,428731.23,4584632.06
"11034","AV. VALLCARCA - AGRAMUNT (Baixada)",1,"Trànsit",1,6,28,3,"Visió Artificial",2.147063115,41.410195606,428712.93,4584645.27
"11-SMD-1","RONDA DE DALT - VALL D'HEBRON (Llobregat)",3,"Rondes",3,0,0,1,"Espira",2.142465313,41.425344638,428345.30,4586330.90
"12-SMD-1","RONDA DE DALT - HOSPITAL MILITAR (Llobregat)",3,"Rondes",3,0,0,1,"Espira",2.139172256,41.418381388,428062.45,4585560.57
"12-SMD-2","RONDA DE DALT - HOSPITAL MILITAR (Trinitat)",3,"Rondes",3,0,0,1,"Espira",2.139172465,41.418379598,428062.46,4585560.37
