"Any","Id_aforament","Mes","Codi_tipus_dia","Desc_tipus_dia","Valor_IMD"
2019,"10001",1,1,"Dilluns",7495
2019,"10001",1,2,"Laborable",7732
2019,"10001",1,3,"Divendres",8373
2019,"10001",1,4,"Dissabte",5311
2019,"10001",1,5,"Diumenge",4305
2019,"10001",2,1,"Dilluns",7822
2019,"10001",2,2,"Laborable",8160
2019,"10001",2,3,"Divendres",9653
2019,"10001",2,4,"Dissabte",6002
2019,"10001",2,5,"Diumenge",4126
2019,"10001",3,1,"Dilluns",7876
2019,"10001",3,2,"Laborable",8119
2019,"10001",3,3,"Divendres",9007
2019,"10001",3,4,"Dissabte",5718
2019,"10001",3,5,"Diumenge",4178
2019,"10001",4,1,"Dilluns",8166
2019,"10001",4,2,"Laborable",8008
2019,"10001",4,3,"Divendres",9345
2019,"10001",4,4,"Dissabte",5399
2019,"10001",4,5,"Diumenge",3801
2019,"10001",5,1,"Dilluns",8434
2019,"10001",5,2,"Laborable",8572
2019,"10001",5,3,"Divendres",10097
2019,"10001",5,4,"Dissabte",6134
2019,"10001",5,5,"Diumenge",4276
2019,"10001",6,1,"Dilluns",8554
2019,"10001",6,2,"Laborable",8876
2019,"10001",6,3,"Divendres",9916
2019,"10001",6,4,"Dissabte",5903
2019,"10001",6,5,"Diumenge",3919
2019,"10001",7,1,"Dilluns",8299
2019,"10001",7,2,"Laborable",8726
2019,"10001",7,3,"Divendres",9890
2019,"10001",7,4,"Dissabte",5393
2019,"10001",7,5,"Diumenge",3814
2019,"10001",8,1,"Dilluns",5668
2019,"10001",8,2,"Laborable",6019
2019,"10001",8,3,"Divendres",6367
2019,"10001",8,4,"Dissabte",4318
2019,"10001",8,5,"Diumenge",3236
2019,"10001",9,1,"Dilluns",8369
2019,"10001",9,2,"Laborable",8818
2019,"10001",9,3,"Divendres",9822
2019,"10001",9,4,"Dissabte",5612
2019,"10001",9,5,"Diumenge",4142
2019,"10001",10,1,"Dilluns",7765
2019,"10001",10,2,"Laborable",8120
2019,"10001",10,3,"Divendres",8562
2019,"10001",10,4,"Dissabte",6100
2019,"10001",10,5,"Diumenge",4401
2019,"10001",11,1,"Dilluns",6639
2019,"10001",11,2,"Laborable",7471
2019,"10001",11,3,"Divendres",8483
2019,"10001",11,4,"Dissabte",5324
2019,"10001",11,5,"Diumenge",3458
2019,"10001",12,1,"Dilluns",8393
2019,"10001",12,2,"Laborable",8684
2019,"10001",12,3,"Divendres",8940
2019,"10001",12,4,"Dissabte",6374
2019,"10001",12,5,"Diumenge",4717
2019,"10002",1,1,"Dilluns",15962
2019,"10002",1,2,"Laborable",16782
2019,"10002",1,3,"Divendres",21049
2019,"10002",1,4,"Dissabte",16023
2019,"10002",1,5,"Diumenge",12020
2019,"10002",2,1,"Dilluns",15205
2019,"10002",2,2,"Laborable",15054
2019,"10002",2,3,"Divendres",15710
2019,"10002",2,4,"Dissabte",13296
2019,"10002",2,5,"Diumenge",11910
2019,"10002",3,1,"Dilluns",13855
2019,"10002",3,2,"Laborable",14931
2019,"10002",3,3,"Divendres",16167
2019,"10002",3,4,"Dissabte",13108
2019,"10002",3,5,"Diumenge",10805
2019,"10002",4,1,"Dilluns",15663
2019,"10002",4,2,"Laborable",15217
2019,"10002",4,3,"Divendres",15915
2019,"10002",4,4,"Dissabte",12707
2019,"10002",4,5,"Diumenge",11487
2019,"10002",5,1,"Dilluns",15662
2019,"10002",5,2,"Laborable",16529
2019,"10002",5,3,"Divendres",18401
2019,"10002",5,4,"Dissabte",14345
2019,"10002",5,5,"Diumenge",12413
2019,"10002",6,1,"Dilluns",16732
2019,"10002",6,2,"Laborable",17343
2019,"10002",6,3,"Divendres",17732
2019,"10002",6,4,"Dissabte",15208
2019,"10002",6,5,"Diumenge",13041
2019,"10002",7,1,"Dilluns",15238
2019,"10002",7,2,"Laborable",15028
2019,"10002",7,3,"Divendres",15759
2019,"10002",7,4,"Dissabte",12980
2019,"10002",7,5,"Diumenge",12108
2019,"10002",8,1,"Dilluns",12081
2019,"10002",8,2,"Laborable",12573
2019,"10002",8,3,"Divendres",12716
2019,"10002",8,4,"Dissabte",10655
2019,"10002",8,5,"Diumenge",9493
2019,"10002",9,1,"Dilluns",16066
2019,"10002",9,2,"Laborable",16450
2019,"10002",9,3,"Divendres",17169
2019,"10002",9,4,"Dissabte",14883
2019,"10002",9,5,"Diumenge",12590
2019,"10002",10,1,"Dilluns",17052
2019,"10002",10,2,"Laborable",16423
2019,"10002",10,3,"Divendres",16249
2019,"10002",10,4,"Dissabte",15283
2019,"10002",10,5,"Diumenge",14047
2019,"10002",11,1,"Dilluns",16277
2019,"10002",11,2,"Laborable",17099
2019,"10002",11,3,"Divendres",18055
2019,"10002",11,4,"Dissabte",15359
2019,"10002",11,5,"Diumenge",12927
2019,"10002",12,1,"Dilluns",15066
2019,"10002",12,2,"Laborable",16081
2019,"10002",12,3,"Divendres",17097
2019,"10002",12,4,"Dissabte",14804
2019,"10002",12,5,"Diumenge",11104
